experiment,file name,embryo,side,fluor,ctcf
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb1_10x.czi,1,cntl,tcf lef,514918683.7
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb2_10x.czi,2,cntl,tcf lef,510578630.6
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb3_10x.czi,3,cntl,tcf lef,243907976.8
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb4_10x.czi,4,cntl,tcf lef,79192571.72
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb5_10x.czi,5,cntl,tcf lef,103754265.8
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb6_10x.czi,6,cntl,tcf lef,353902475.7
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb7_10x.czi,7,cntl,tcf lef,246060513.5
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb8_10x.czi,8,cntl,tcf lef,420837819.6
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb9_10x.czi,9,cntl,tcf lef,69413768.73
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb10_10x.czi,10,cntl,tcf lef,278241932.6
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb1_10x.czi,1,exp,tcf lef,459513936.5
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb2_10x.czi,2,exp,tcf lef,366175626.5
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb3_10x.czi,3,exp,tcf lef,169079860.3
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb4_10x.czi,4,exp,tcf lef,83106871.13
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb5_10x.czi,5,exp,tcf lef,60494184.66
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb6_10x.czi,6,exp,tcf lef,288831296.4
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb7_10x.czi,7,exp,tcf lef,223413295.5
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb8_10x.czi,8,exp,tcf lef,359749099.9
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb9_10x.czi,9,exp,tcf lef,71334632.43
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb10_10x.czi,10,exp,tcf lef,149206776
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb1_10x.czi,1,cntl,pCIG,237935073.1
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb2_10x.czi,2,cntl,pCIG,166649900.5
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb3_10x.czi,3,cntl,pCIG,157289433.9
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb4_10x.czi,4,cntl,pCIG,90476472.59
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb5_10x.czi,5,cntl,pCIG,135302234.1
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb6_10x.czi,6,cntl,pCIG,248264670.1
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb7_10x.czi,7,cntl,pCIG,278313337.1
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb8_10x.czi,8,cntl,pCIG,415259622
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb9_10x.czi,9,cntl,pCIG,135770880.6
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb10_10x.czi,10,cntl,pCIG,453642949.4
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb1_10x.czi,1,exp,pCIG,298033445.5
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb2_10x.czi,2,exp,pCIG,148068292.7
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb3_10x.czi,3,exp,pCIG,152278539.7
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb4_10x.czi,4,exp,pCIG,111977845.7
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb5_10x.czi,5,exp,pCIG,122936344.6
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb6_10x.czi,6,exp,pCIG,250989919.8
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb7_10x.czi,7,exp,pCIG,328312018.6
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb8_10x.czi,8,exp,pCIG,465221134
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb9_10x.czi,9,exp,pCIG,164048415
2019.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb10_10x.czi,10,exp,pCIG,296079411.7